,Open,High,Low,Close,Volume
2021-09-24 08:00:00,6.107,8.5,6.107,7.54,3700816400.0
2021-09-24 09:00:00,7.537,7.65,7.309,7.406,636848700.0
2021-09-24 10:00:00,7.406,7.406,7.007,7.08,794827300.0
2021-09-24 11:00:00,7.08,7.132,6.2,6.27,1841842400.0
2021-09-24 12:00:00,6.249,6.586,6.2,6.501,771617900.0
2021-09-24 13:00:00,6.501,6.741,5.985,6.565,1077119700.0
2021-09-24 14:00:00,6.556,7.3,6.273,6.839,1627491400.0
2021-09-24 15:00:00,6.84,6.994,6.562,6.918,862047700.0
2021-09-24 16:00:00,6.914,7.25,6.833,6.893,809181300.0
2021-09-24 17:00:00,6.894,7.4,6.6,6.847,549816100.0
2021-09-24 18:00:00,6.85,7.3,6.84,7.025,592424100.0
2021-09-24 19:00:00,7.03,7.043,6.691,6.841,222452900.0
2021-09-24 20:00:00,6.837,7.057,6.827,7.045,163282000.0
2021-09-24 21:00:00,7.042,7.049,6.85,6.865,133449600.0
2021-09-24 22:00:00,6.864,7.11,6.864,7.037,187172900.0
2021-09-24 23:00:00,7.04,7.596,7.035,7.29,633604900.0
2021-09-25 00:00:00,7.293,7.354,7.06,7.133,297027000.0
2021-09-25 01:00:00,7.133,7.355,6.869,7.049,406695200.0
2021-09-25 02:00:00,7.048,7.176,6.6,6.684,338413400.0
2021-09-25 03:00:00,6.691,6.82,6.506,6.62,254658000.0
2021-09-25 04:00:00,6.612,6.914,6.522,6.703,223935100.0
2021-09-25 05:00:00,6.71,6.815,6.602,6.61,146436600.0
2021-09-25 06:00:00,6.607,6.709,6.578,6.616,151686100.0
2021-09-25 07:00:00,6.616,6.629,6.369,6.383,180348300.0
2021-09-25 08:00:00,6.398,6.565,6.3,6.434,241976000.0
2021-09-25 09:00:00,6.435,6.453,6.22,6.268,178843000.0
2021-09-25 10:00:00,6.266,6.371,6.02,6.281,332055900.0
2021-09-25 11:00:00,6.28,6.515,6.191,6.325,291061600.0
2021-09-25 12:00:00,6.33,6.51,6.212,6.258,206697400.0
2021-09-25 13:00:00,6.258,6.371,6.192,6.331,149531300.0
2021-09-25 14:00:00,6.322,6.34,6.24,6.307,80532000.0
2021-09-25 15:00:00,6.305,6.49,6.283,6.305,195399800.0
2021-09-25 16:00:00,6.308,6.4,6.123,6.191,232204700.0
2021-09-25 17:00:00,6.175,6.325,6.102,6.146,291131500.0
2021-09-25 18:00:00,6.147,6.17,5.952,6.009,619166400.0
2021-09-25 19:00:00,6.008,6.04,5.664,5.691,589081600.0
2021-09-25 20:00:00,5.681,5.787,5.569,5.569,551690200.0
2021-09-25 21:00:00,5.58,5.68,5.488,5.568,518433000.0
2021-09-25 22:00:00,5.567,5.582,5.288,5.299,568333100.0
2021-09-25 23:00:00,5.297,5.487,5.166,5.478,449189900.0
2021-09-26 00:00:00,5.478,5.619,5.391,5.492,200999900.0
2021-09-26 01:00:00,5.492,5.87,5.457,5.787,431430600.0
2021-09-26 02:00:00,5.784,5.8,5.429,5.498,259148600.0
2021-09-26 03:00:00,5.498,5.501,5.27,5.34,190854200.0
2021-09-26 04:00:00,5.332,5.595,5.19,5.333,413768400.0
2021-09-26 05:00:00,5.324,5.437,5.261,5.37,97906900.0
2021-09-26 06:00:00,5.37,5.376,5.172,5.346,211912100.0
2021-09-26 07:00:00,5.345,5.68,5.297,5.481,315116200.0
2021-09-26 08:00:00,5.472,5.528,5.281,5.327,102513200.0
2021-09-26 09:00:00,5.33,5.387,4.686,4.84,660992200.0
2021-09-26 10:00:00,4.843,4.976,4.632,4.915,797588000.0
2021-09-26 11:00:00,4.922,5.349,4.915,5.246,596840000.0
2021-09-26 12:00:00,5.246,5.436,5.112,5.116,332236300.0
2021-09-26 13:00:00,5.12,5.315,5.116,5.196,206183800.0
2021-09-26 14:00:00,5.196,5.467,5.192,5.415,205573800.0
2021-09-26 15:00:00,5.415,5.441,5.285,5.321,159117900.0
2021-09-26 16:00:00,5.323,5.401,5.266,5.382,116341200.0
2021-09-26 17:00:00,5.388,5.7,5.355,5.586,384216300.0
2021-09-26 18:00:00,5.591,5.755,5.219,5.295,353753300.0
2021-09-26 19:00:00,5.295,5.342,5.207,5.257,120921100.0
2021-09-26 20:00:00,5.251,5.293,5.171,5.218,68928500.0
2021-09-26 21:00:00,5.21,5.24,5.1,5.192,120671900.0
2021-09-26 22:00:00,5.192,5.4,5.19,5.32,123365200.0
2021-09-26 23:00:00,5.32,5.353,5.245,5.266,70039700.0
2021-09-27 00:00:00,5.276,5.311,5.008,5.008,141443100.0
2021-09-27 01:00:00,5.015,5.215,5.0,5.119,187574500.0
2021-09-27 02:00:00,5.113,5.333,5.015,5.284,165221700.0
2021-09-27 03:00:00,5.292,5.63,5.197,5.575,291959000.0
2021-09-27 04:00:00,5.569,5.582,5.303,5.391,286708000.0
2021-09-27 05:00:00,5.391,5.452,5.22,5.267,176165800.0
2021-09-27 06:00:00,5.269,5.432,5.242,5.33,155025200.0
2021-09-27 07:00:00,5.324,5.438,5.29,5.335,111122800.0
2021-09-27 08:00:00,5.334,5.4,5.16,5.169,205546200.0
2021-09-27 09:00:00,5.166,5.24,5.1,5.18,240080900.0
2021-09-27 10:00:00,5.189,5.349,5.181,5.311,156418000.0
2021-09-27 11:00:00,5.31,5.38,5.192,5.195,153103500.0
2021-09-27 12:00:00,5.204,5.279,5.193,5.24,114662400.0
2021-09-27 13:00:00,5.24,5.271,5.184,5.238,71214400.0
2021-09-27 14:00:00,5.235,5.253,5.137,5.209,73121600.0
2021-09-27 15:00:00,5.215,5.215,5.15,5.166,64353500.0
2021-09-27 16:00:00,5.166,5.24,5.099,5.115,116539700.0
2021-09-27 17:00:00,5.116,5.137,5.001,5.068,142822100.0
2021-09-27 18:00:00,5.062,5.55,5.062,5.22,597120700.0
2021-09-27 19:00:00,5.223,5.28,5.135,5.194,55131000.0
2021-09-27 20:00:00,5.194,5.4,5.177,5.26,90194400.0
2021-09-27 21:00:00,5.269,5.52,5.18,5.423,250648700.0
2021-09-27 22:00:00,5.421,5.426,5.207,5.218,106531400.0
2021-09-27 23:00:00,5.211,5.357,5.193,5.331,58672800.0
2021-09-28 00:00:00,5.335,5.43,5.291,5.396,106559500.0
2021-09-28 01:00:00,5.393,5.403,5.172,5.228,100878600.0
2021-09-28 02:00:00,5.24,5.256,5.108,5.177,111995900.0
2021-09-28 03:00:00,5.178,5.225,5.112,5.146,39488300.0
2021-09-28 04:00:00,5.143,5.216,5.127,5.178,55895800.0
2021-09-28 05:00:00,5.172,5.5,5.172,5.483,227573600.0
2021-09-28 06:00:00,5.483,6.149,5.48,5.915,1754446300.0
2021-09-28 07:00:00,5.914,5.98,5.671,5.708,545004000.0
2021-09-28 08:00:00,5.708,5.9,5.595,5.695,559145700.0
2021-09-28 09:00:00,5.697,5.812,5.589,5.73,279047700.0
2021-09-28 10:00:00,5.74,5.988,5.685,5.8,601887100.0
2021-09-28 11:00:00,5.8,5.849,5.672,5.701,161680600.0
2021-09-28 12:00:00,5.701,5.73,5.574,5.655,246208200.0
2021-09-28 13:00:00,5.655,5.761,5.59,5.629,103514800.0
2021-09-28 14:00:00,5.629,5.7,5.54,5.577,107455400.0
2021-09-28 15:00:00,5.571,5.73,5.552,5.61,204333100.0
2021-09-28 16:00:00,5.606,5.623,5.418,5.495,248427900.0
2021-09-28 17:00:00,5.491,5.655,5.46,5.583,239964200.0
2021-09-28 18:00:00,5.568,5.79,5.293,5.347,300170500.0
2021-09-28 19:00:00,5.351,5.397,5.229,5.341,128558900.0
2021-09-28 20:00:00,5.353,5.373,5.25,5.333,69123400.0
2021-09-28 21:00:00,5.333,5.371,5.275,5.334,48065000.0
2021-09-28 22:00:00,5.339,5.41,5.315,5.34,70598000.0
2021-09-28 23:00:00,5.342,5.349,5.276,5.331,36159000.0
2021-09-29 00:00:00,5.325,5.326,5.25,5.314,45651900.0
2021-09-29 01:00:00,5.313,5.528,5.283,5.375,206308700.0
2021-09-29 02:00:00,5.375,5.833,5.37,5.631,501195300.0
2021-09-29 03:00:00,5.628,5.775,5.529,5.7,169085000.0
2021-09-29 04:00:00,5.698,6.0,5.646,5.813,488843900.0
2021-09-29 05:00:00,5.815,5.87,5.71,5.84,177140700.0
2021-09-29 06:00:00,5.84,5.883,5.681,5.694,148228800.0
2021-09-29 07:00:00,5.7,5.749,5.62,5.719,87911400.0
2021-09-29 08:00:00,5.719,5.932,5.716,5.923,235070300.0
2021-09-29 11:00:00,5.893,5.894,5.73,5.767,89661100.0
2021-09-29 12:00:00,5.767,5.886,5.57,5.683,340590000.0
2021-09-29 13:00:00,5.683,5.694,5.57,5.581,144305200.0
2021-09-29 14:00:00,5.576,5.695,5.478,5.671,285593000.0
2021-09-29 15:00:00,5.671,5.815,5.604,5.631,102885400.0
2021-09-29 16:00:00,5.634,5.74,5.626,5.735,61946300.0
2021-09-29 17:00:00,5.74,5.797,5.52,5.644,166801000.0
