,Open,High,Low,Close,Volume
2020-07-06 07:00:00,6.525,6.75,6.525,6.597,1235551.0
2020-07-06 08:00:00,6.729,6.737,6.625,6.649,219167.0
2020-07-06 09:00:00,6.796,6.796,6.599,6.759,542058.0
2020-07-06 10:00:00,6.696,6.797,6.696,6.797,335644.0
2020-07-06 11:00:00,6.788,6.788,6.674,6.676,25312.0
2020-07-06 12:00:00,6.676,6.736,6.615,6.716,200346.0
2020-07-06 13:00:00,6.714,6.747,6.714,6.747,16817.0
2020-07-06 14:00:00,6.751,6.842,6.697,6.8,143208.0
2020-07-06 15:00:00,6.8,6.8,6.733,6.8,45685.0
2020-07-06 16:00:00,6.8,6.824,6.74,6.74,381390.0
2020-07-06 17:00:00,6.788,6.923,6.788,6.788,174056.0
2020-07-06 18:00:00,6.872,6.92,6.802,6.902,3283489.0
2020-07-06 19:00:00,6.902,6.943,6.83,6.845,2704842.0
2020-07-06 20:00:00,6.846,6.942,6.845,6.88,1011760.0
2020-07-06 21:00:00,6.88,6.9,6.88,6.895,351473.0
2020-07-06 22:00:00,6.895,6.9,6.89,6.9,540856.0
2020-07-06 23:00:00,6.956,7.0,6.956,6.999,745202.0
2020-07-07 00:00:00,6.967,7.031,6.921,7.019,231486.0
2020-07-07 01:00:00,7.009,7.094,6.957,7.058,581094.0
2020-07-07 02:00:00,7.058,7.334,6.998,7.035,1977789.0
2020-07-07 03:00:00,7.036,8.34,6.885,6.961,1685315.0
2020-07-07 04:00:00,6.96,7.052,6.936,6.95,687803.0
2020-07-07 05:00:00,7.014,7.03,6.929,6.99,82310.0
2020-07-07 06:00:00,6.93,7.03,6.885,6.934,204608.0
2020-07-07 07:00:00,6.934,7.014,6.922,6.922,102784.0
2020-07-07 08:00:00,6.94,6.982,6.845,6.932,85155.0
2020-07-07 09:00:00,6.946,8.9,6.88,7.007,5280019.0
2020-07-07 10:00:00,6.923,7.006,6.88,6.952,654128.0
2020-07-07 11:00:00,6.999,8.2,6.9,6.953,3892559.0
2020-07-07 12:00:00,6.992,7.163,6.9,6.99,1925122.0
2020-07-07 13:00:00,6.99,7.032,6.89,6.995,2750211.0
2020-07-07 14:00:00,6.996,7.028,6.85,6.923,515419.99999999994
2020-07-07 15:00:00,6.87,6.921,6.845,6.845,382329.0
2020-07-07 16:00:00,6.894,6.934,6.833,6.852,570769.0
2020-07-07 17:00:00,6.845,6.888,6.8,6.862,993959.0
2020-07-07 18:00:00,6.86,6.906,6.802,6.889,1045258.0
2020-07-07 19:00:00,6.881,6.91,6.814,6.894,264082.0
2020-07-07 20:00:00,6.897,6.909,6.811,6.903,250832.0
2020-07-07 21:00:00,6.893,6.899,6.8,6.8,636372.0
2020-07-07 22:00:00,6.812,6.879,6.8,6.874,297574.0
2020-07-07 23:00:00,6.875,6.878,6.826,6.878,85926.0
2020-07-08 00:00:00,6.873,6.873,6.871,6.872,213575.0
2020-07-08 01:00:00,6.872,6.873,6.827,6.84,550571.0
2020-07-08 02:00:00,6.84,6.867,6.8,6.867,324470.0
2020-07-08 03:00:00,6.809,6.867,6.801,6.867,416059.0
2020-07-08 04:00:00,6.867,6.901,6.85,6.89,855110.0
2020-07-08 05:00:00,6.846,6.961,6.825,6.961,5388311.0
2020-07-08 06:00:00,6.961,6.961,6.652,6.768,2243655.0
2020-07-08 07:00:00,6.76,6.81,6.73,6.81,2193095.0
2020-07-08 08:00:00,6.818,6.963,6.5,6.764,4937561.0
2020-07-08 09:00:00,6.76,6.946,6.755,6.86,2266916.0
2020-07-08 10:00:00,6.86,6.888,6.813,6.845,643874.0
2020-07-08 11:00:00,6.844,6.844,6.778,6.778,117107.0
2020-07-08 12:00:00,6.838,6.899,6.82,6.868,1129514.0
2020-07-08 13:00:00,6.868,6.93,6.863,6.88,1110777.0
2020-07-08 14:00:00,6.88,6.926,6.85,6.85,883293.0
2020-07-08 15:00:00,6.885,6.909,6.838,6.909,530726.0
